iter	Passed	Remaining
0	5	1585
1	14	1885
2	25	2271
3	33	2203
4	42	2237
5	51	2276
6	60	2272
7	70	2315
8	82	2390
9	96	2502
10	108	2557
11	113	2438
12	126	2502
13	138	2528
14	154	2628
15	161	2570
16	173	2582
17	183	2570
18	196	2596
19	206	2580
20	218	2586
21	229	2584
22	246	2651
23	261	2684
24	271	2658
25	280	2630
26	292	2630
27	303	2626
28	324	2694
29	338	2708
30	358	2760
31	380	2826
32	392	2820
33	404	2807
34	416	2797
35	427	2777
36	439	2764
37	446	2728
38	455	2700
39	465	2678
40	474	2649
41	482	2617
42	489	2584
43	497	2555
44	506	2530
45	514	2504
46	521	2476
47	529	2449
48	538	2427
49	545	2400
50	553	2378
51	561	2351
52	570	2333
53	577	2311
54	586	2291
55	593	2269
56	602	2253
57	610	2231
58	619	2216
59	629	2203
60	638	2186
61	647	2172
62	658	2163
63	667	2148
64	674	2127
65	683	2111
66	690	2092
67	700	2080
68	707	2061
69	715	2044
70	725	2033
71	736	2024
72	744	2010
73	752	1993
74	761	1980
75	770	1966
76	778	1950
77	785	1933
78	794	1922
79	805	1912
80	815	1903
81	826	1895
82	837	1885
83	847	1877
84	858	1869
85	870	1862
86	881	1854
87	891	1844
88	903	1837
89	914	1829
90	926	1821
91	936	1812
92	945	1798
93	954	1786
94	964	1777
95	974	1766
96	983	1754
97	992	1742
98	1001	1729
99	1008	1714
100	1016	1700
101	1025	1688
102	1035	1678
103	1043	1665
104	1050	1651
105	1058	1638
106	1068	1627
107	1078	1618
108	1085	1604
109	1094	1592
110	1102	1578
111	1111	1567
112	1119	1556
113	1134	1552
114	1144	1543
115	1156	1535
116	1166	1525
117	1188	1530
118	1195	1516
119	1222	1527
120	1246	1535
121	1262	1531
122	1311	1567
123	1350	1590
124	1365	1583
125	1380	1577
126	1418	1597
127	1424	1580
128	1437	1570
129	1449	1560
130	1461	1550
131	1473	1540
132	1493	1538
133	1497	1519
134	1506	1506
135	1516	1494
136	1526	1481
137	1539	1472
138	1549	1460
139	1567	1455
140	1576	1442
141	1585	1429
142	1596	1417
143	1606	1405
144	1615	1392
145	1624	1379
146	1634	1367
147	1645	1356
148	1654	1343
149	1665	1332
150	1676	1321
151	1687	1309
152	1696	1297
153	1705	1284
154	1713	1271
155	1721	1257
156	1729	1244
157	1737	1231
158	1747	1219
159	1755	1207
160	1765	1195
161	1775	1183
162	1786	1173
163	1798	1162
164	1813	1153
165	1822	1141
166	1831	1129
167	1840	1117
168	1850	1105
169	1859	1094
170	1869	1082
171	1878	1070
172	1887	1058
173	1897	1047
174	1949	1058
175	1966	1050
176	1976	1038
177	1995	1031
178	2014	1023
179	2026	1013
180	2041	1003
181	2044	988
182	2060	979
183	2078	971
184	2089	960
185	2113	954
186	2127	944
187	2137	932
188	2150	921
189	2164	911
190	2177	900
191	2186	888
192	2197	876
193	2208	865
194	2220	853
195	2230	842
196	2242	830
197	2251	818
198	2262	807
199	2272	795
200	2284	784
201	2296	773
202	2310	762
203	2321	751
204	2331	739
205	2344	728
206	2357	717
207	2367	705
208	2378	694
209	2394	684
210	2406	672
211	2417	661
212	2427	649
213	2436	637
214	2447	626
215	2456	614
216	2465	602
217	2475	590
218	2486	578
219	2496	567
220	2511	556
221	2523	545
222	2534	534
223	2545	522
224	2556	511
225	2566	499
226	2576	488
227	2586	476
228	2601	465
229	2613	454
230	2623	442
231	2632	431
232	2642	419
233	2655	408
234	2667	397
235	2689	387
236	2704	376
237	2719	365
238	2733	354
239	2743	342
240	2760	332
241	2773	320
242	2792	310
243	2805	298
244	2818	287
245	2831	276
246	2842	264
247	2854	253
248	2868	241
249	2883	230
250	2895	219
251	2906	207
252	2918	196
253	2931	184
254	2941	173
255	2951	161
256	2962	149
257	2972	138
258	2983	126
259	2993	115
260	3002	103
261	3012	91
262	3025	80
263	3035	68
264	3047	57
265	3057	45
266	3068	34
267	3080	22
268	3088	11
269	3097	0
